N,P,K,temperature,humidity,ph,rainfall,label
21,118,199,22.87,92.17,5.73,105.13,Apple
27,134,206,21.97,91.65,6.14,99.72,Apple
13,142,195,20.42,95.1,5.48,114.17,Apple
21,111,198,23.14,92.83,6.17,109.6,Apple
25,128,194,21.04,90.11,6.2,100.58,Apple
22,131,199,24.24,91.64,6.08,113.0,Apple
20,152,194,24.15,93.28,5.76,125.73,Apple
9,129,195,23.09,90.63,6.03,111.21,Apple
18,137,198,21.29,96.5,5.75,94.96,Apple
15,123,203,22.99,92.9,5.79,110.47,Apple
18,133,203,23.0,93.05,6.05,119.78,Apple
22,136,204,21.8,91.02,5.54,114.16,Apple
9,137,199,23.96,91.29,5.84,121.68,Apple
29,128,200,22.95,92.86,5.82,122.95,Apple
9,130,201,23.15,94.33,6.26,110.42,Apple
28,128,203,24.77,94.12,5.93,110.05,Apple
11,136,195,21.65,90.51,5.76,112.48,Apple
22,129,204,22.35,91.12,5.97,128.41,Apple
23,131,193,22.34,92.65,5.78,99.38,Apple
15,145,205,21.54,93.31,5.55,123.93,Apple
22,141,193,23.41,92.29,6.16,120.02,Apple
21,129,203,22.53,90.99,5.62,100.88,Apple
17,142,200,21.96,93.51,5.65,113.46,Apple
19,140,193,21.58,89.84,5.82,122.39,Apple
17,129,203,23.88,92.17,6.11,104.08,Apple
29,151,202,20.1,91.46,6.08,109.33,Apple
28,138,197,22.64,90.96,5.85,108.26,Apple
28,150,194,20.29,91.93,5.44,113.07,Apple
25,145,200,22.37,89.33,5.91,113.27,Apple
24,128,198,20.83,88.86,5.57,100.14,Apple
23,129,197,21.42,87.45,6.35,104.7,Apple
18,122,203,22.77,91.06,5.78,126.13,Apple
20,132,196,20.33,92.06,6.0,121.5,Apple
7,124,197,22.6,92.08,5.86,115.96,Apple
15,141,201,22.22,94.7,6.37,120.16,Apple
2,146,203,25.01,94.16,6.37,119.73,Apple
29,149,200,20.71,91.84,6.02,113.3,Apple
13,120,197,23.57,94.67,6.17,121.16,Apple
20,120,198,22.29,91.55,5.92,116.23,Apple
26,131,192,22.02,92.37,6.27,108.16,Apple
24,136,200,23.72,91.31,5.73,112.6,Apple
17,138,197,22.87,92.15,5.96,109.02,Apple
18,134,200,22.59,94.86,5.6,112.19,Apple
11,136,195,22.27,91.74,5.98,108.28,Apple
17,145,201,21.93,91.92,6.39,110.82,Apple
16,128,197,21.89,90.38,5.56,106.07,Apple
24,130,199,24.12,94.24,5.82,107.65,Apple
15,139,199,22.14,91.08,5.67,115.26,Apple
13,141,197,22.42,90.29,5.9,110.07,Apple
20,145,200,21.65,91.23,6.08,123.09,Apple
22,139,202,24.3,89.38,6.1,120.57,Apple
12,126,196,21.73,91.58,5.97,119.63,Apple
27,127,196,24.18,93.27,5.92,116.49,Apple
20,138,198,22.92,90.03,5.69,107.28,Apple
18,126,197,20.78,93.12,5.88,99.06,Apple
15,136,197,21.76,92.19,6.0,101.21,Apple
24,127,199,22.56,91.51,5.59,110.41,Apple
30,123,206,22.29,92.35,5.57,106.53,Apple
17,125,199,22.11,95.08,5.55,113.52,Apple
22,125,202,22.12,88.56,6.1,103.76,Apple
14,139,198,23.7,94.12,5.71,119.05,Apple
16,151,197,23.83,93.57,5.99,107.34,Apple
20,116,200,23.02,92.5,5.01,102.57,Apple
16,136,201,22.4,93.25,5.59,117.58,Apple
23,137,199,24.8,93.04,5.61,114.69,Apple
25,129,204,23.06,88.79,5.99,109.45,Apple
24,141,200,24.6,92.03,6.09,119.14,Apple
20,140,197,22.09,90.33,5.97,115.3,Apple
28,140,198,21.19,92.95,6.23,118.74,Apple
27,132,198,21.72,92.22,5.88,114.35,Apple
20,132,196,23.73,92.41,5.85,106.72,Apple
13,144,202,20.65,93.44,6.18,113.7,Apple
30,135,194,23.04,92.67,5.72,117.29,Apple
10,141,196,21.42,92.13,6.03,114.01,Apple
16,129,195,22.33,93.91,5.9,119.58,Apple
29,129,199,25.21,94.47,5.4,115.8,Apple
21,140,197,21.59,91.29,5.73,119.22,Apple
13,129,192,23.81,94.21,5.8,110.32,Apple
23,145,201,21.76,89.87,5.57,113.29,Apple
17,135,197,21.33,90.53,6.37,119.81,Apple
31,138,198,24.19,92.25,5.97,112.36,Apple
3,146,201,23.0,92.21,5.95,107.92,Apple
24,123,200,23.27,92.0,6.01,104.77,Apple
15,135,202,20.35,93.08,5.74,111.16,Apple
12,127,203,22.64,91.73,5.87,116.61,Apple
23,133,204,23.76,92.92,5.92,117.96,Apple
22,142,203,21.38,90.67,5.69,120.51,Apple
11,137,201,24.0,92.57,5.5,105.03,Apple
13,129,199,21.2,94.51,5.5,123.47,Apple
28,141,197,23.01,90.38,6.17,112.11,Apple
18,124,190,21.35,93.97,5.78,111.35,Apple
24,148,205,21.43,89.39,6.61,130.85,Apple
22,123,203,22.47,92.13,6.17,115.37,Apple
13,131,202,23.21,92.69,6.18,109.81,Apple
22,106,198,23.52,91.71,5.76,104.37,Apple
27,138,203,20.53,92.06,5.82,110.46,Apple
17,131,203,20.3,94.97,6.05,112.36,Apple
25,8,8,22.07,94.25,6.97,113.2,Orange
16,19,15,28.77,92.08,7.41,113.97,Orange
23,23,13,22.04,93.16,6.77,104.96,Orange
18,16,5,27.96,88.05,8.63,119.51,Orange
18,17,10,19.27,92.49,6.91,109.93,Orange
21,9,10,23.78,92.39,6.87,117.33,Orange
17,18,13,22.32,92.52,6.94,117.92,Orange
18,24,9,17.64,93.22,6.82,114.22,Orange
3,17,8,16.42,91.37,6.66,110.21,Orange
11,18,14,24.49,93.41,7.66,117.92,Orange
31,14,7,27.5,93.26,7.47,121.84,Orange
20,19,7,35.61,91.7,6.82,108.42,Orange
16,12,8,14.61,91.02,8.17,114.91,Orange
25,24,15,12.17,90.36,6.52,107.68,Orange
18,14,10,23.01,91.12,5.69,104.54,Orange
16,15,6,19.86,90.5,6.92,104.06,Orange
14,9,9,17.6,93.56,7.24,110.08,Orange
15,19,12,23.66,94.61,7.28,115.98,Orange
20,21,7,20.05,92.72,7.21,113.55,Orange
26,8,7,24.18,91.11,9.03,113.59,Orange
19,13,8,22.98,92.37,6.73,108.86,Orange
28,25,10,14.75,93.01,7.93,118.72,Orange
24,25,10,26.57,91.18,7.18,118.48,Orange
16,11,10,21.44,93.17,6.73,120.81,Orange
12,24,7,12.02,92.56,6.85,103.84,Orange
9,16,12,26.31,92.29,7.29,110.34,Orange
11,8,9,21.84,93.48,7.45,114.13,Orange
18,8,11,25.95,88.62,6.5,106.35,Orange
20,12,9,21.54,91.96,6.57,106.67,Orange
13,19,11,18.18,94.48,6.81,119.68,Orange
16,5,11,24.29,92.25,6.61,110.29,Orange
16,15,12,23.91,93.11,6.86,108.45,Orange
13,14,5,19.26,92.08,7.34,108.89,Orange
22,5,9,12.72,90.39,6.89,118.16,Orange
22,17,9,18.52,91.38,7.26,102.19,Orange
23,14,12,28.57,89.69,6.65,105.37,Orange
9,10,17,26.46,95.08,7.5,106.05,Orange
17,20,11,19.34,89.94,8.97,109.65,Orange
18,17,9,23.54,94.13,6.93,103.52,Orange
19,14,14,29.83,92.36,6.23,103.14,Orange
20,19,8,19.92,91.31,6.99,96.2,Orange
13,13,13,17.92,92.47,7.14,118.29,Orange
27,16,8,18.82,91.84,6.74,113.82,Orange
22,20,13,33.98,92.39,7.66,108.39,Orange
27,23,13,23.36,91.2,6.16,110.26,Orange
29,15,12,27.86,91.77,7.79,93.05,Orange
12,11,7,24.82,92.64,7.24,114.08,Orange
14,9,11,19.02,89.84,7.58,118.87,Orange
29,18,11,31.02,91.24,7.67,112.15,Orange
25,18,13,24.14,89.97,7.87,104.81,Orange
27,16,13,29.61,92.85,7.31,113.04,Orange
7,17,6,23.83,90.49,6.29,120.13,Orange
26,16,10,21.31,93.05,6.59,116.46,Orange
18,14,10,19.25,92.69,6.68,113.31,Orange
27,12,9,25.57,91.55,7.28,113.83,Orange
26,13,7,20.95,90.75,7.34,103.53,Orange
33,24,10,28.0,89.74,8.51,106.96,Orange
19,5,11,16.16,92.35,6.67,104.03,Orange
15,18,6,18.31,93.19,8.56,113.37,Orange
14,14,10,20.7,93.55,7.13,115.95,Orange
18,24,9,16.97,95.47,5.91,106.07,Orange
16,32,15,31.76,91.7,8.46,112.71,Orange
25,18,9,21.29,91.89,7.37,112.7,Orange
19,26,5,25.86,93.28,7.69,110.11,Orange
21,22,14,21.0,92.6,8.01,97.76,Orange
15,25,13,25.93,91.53,6.47,106.95,Orange
29,13,10,18.28,93.46,6.68,109.91,Orange
9,7,10,14.85,95.36,5.76,105.7,Orange
20,14,6,17.05,90.71,6.83,122.21,Orange
20,24,11,29.48,88.0,6.82,118.34,Orange
16,27,14,19.99,91.45,6.39,106.72,Orange
12,19,5,26.42,93.14,6.0,119.8,Orange
23,21,7,26.53,93.89,6.94,122.51,Orange
20,23,10,26.31,89.69,7.22,106.09,Orange
14,27,9,16.78,91.66,6.22,119.1,Orange
15,20,14,19.8,93.0,6.38,125.17,Orange
25,15,7,22.12,91.69,8.17,103.15,Orange
20,16,9,22.15,92.03,7.52,114.15,Orange
22,5,10,12.87,93.17,7.88,104.94,Orange
18,13,13,23.37,94.79,7.25,111.95,Orange
20,21,5,23.31,92.09,7.44,109.37,Orange
13,17,6,11.25,93.29,7.35,113.3,Orange
27,13,5,22.38,91.68,6.49,110.02,Orange
16,5,8,15.98,92.55,6.61,117.17,Orange
29,21,5,31.83,94.56,7.01,118.44,Orange
16,5,7,33.18,89.96,7.0,110.7,Orange
16,14,10,19.43,90.07,7.13,116.94,Orange
25,12,6,21.09,94.55,7.39,114.72,Orange
25,19,10,26.77,91.38,6.15,114.84,Orange
27,10,12,32.88,92.2,6.51,111.24,Orange
16,13,11,13.18,90.03,7.01,110.37,Orange
22,28,10,26.39,90.74,7.46,107.34,Orange
20,16,13,14.94,88.78,6.87,113.31,Orange
20,24,11,19.42,88.71,6.86,116.67,Orange
17,17,11,16.71,93.13,7.98,109.46,Orange
13,16,5,24.82,92.88,8.01,109.34,Orange
22,11,8,13.65,91.91,6.82,112.3,Orange
16,17,8,20.81,92.32,7.02,115.07,Orange
19,14,9,18.51,91.66,8.22,105.02,Orange
18,14,9,20.81,92.62,5.97,116.72,Orange
56,49,43,30.28,92.04,7.22,167.05,Papaya
31,53,49,34.59,90.43,6.67,110.31,Papaya
38,61,52,36.64,93.26,6.6,174.75,Papaya
53,60,48,31.96,92.51,7.19,156.16,Papaya
43,52,48,41.32,91.8,6.88,125.68,Papaya
52,65,48,31.46,94.89,6.9,178.18,Papaya
57,62,56,33.85,93.27,6.41,105.48,Papaya
37,69,42,32.29,87.91,6.53,120.51,Papaya
63,62,47,37.43,92.43,6.71,88.48,Papaya
40,52,50,33.97,94.72,6.78,20.76,Papaya
52,47,47,30.86,91.4,6.42,151.76,Papaya
35,61,56,29.05,91.97,6.2,129.06,Papaya
56,64,50,36.81,96.22,7.04,119.09,Papaya
35,55,47,35.28,90.63,6.69,180.31,Papaya
48,51,53,27.12,91.91,6.69,143.32,Papaya
51,63,49,32.41,91.79,6.58,178.04,Papaya
43,65,50,31.88,93.33,6.55,171.32,Papaya
52,54,51,35.61,94.14,6.89,164.71,Papaya
38,78,45,37.02,93.05,6.47,137.01,Papaya
49,69,47,32.78,88.9,7.05,94.43,Papaya
53,58,49,36.53,94.91,6.75,172.08,Papaya
53,67,48,37.46,94.07,6.92,112.89,Papaya
48,60,45,39.28,92.38,6.76,116.63,Papaya
36,54,50,36.06,92.64,6.77,127.43,Papaya
54,70,52,36.53,92.84,6.4,95.59,Papaya
54,58,51,39.57,93.49,6.95,146.86,Papaya
41,58,47,39.15,93.59,6.8,198.22,Papaya
29,63,46,33.67,91.93,6.83,152.87,Papaya
63,54,52,34.27,89.95,6.52,135.86,Papaya
61,62,46,33.21,95.43,6.72,127.87,Papaya
54,65,48,35.46,91.91,6.84,150.24,Papaya
54,52,47,37.01,92.28,6.76,128.81,Papaya
58,54,49,36.45,94.16,6.6,230.79,Papaya
53,50,51,32.36,93.05,6.69,145.94,Papaya
40,66,46,29.82,92.95,7.02,126.73,Papaya
57,67,52,32.61,90.76,6.26,130.77,Papaya
61,50,52,30.37,92.56,6.84,112.92,Papaya
51,55,52,34.52,92.48,7.01,172.4,Papaya
43,58,49,33.98,96.19,6.77,50.98,Papaya
44,43,49,26.74,91.09,6.4,159.89,Papaya
50,61,49,28.82,93.17,7.08,161.01,Papaya
45,47,47,35.29,94.01,6.75,178.59,Papaya
57,63,48,34.31,91.13,6.7,157.49,Papaya
66,48,51,38.88,93.54,6.87,169.05,Papaya
62,50,45,33.68,89.16,6.95,197.53,Papaya
45,56,49,33.88,92.59,6.81,134.83,Papaya
59,62,48,38.37,90.36,6.68,186.11,Papaya
42,61,51,30.69,92.29,6.67,117.77,Papaya
73,52,53,32.33,90.77,6.72,171.81,Papaya
59,71,58,34.58,91.41,6.79,130.62,Papaya
59,48,57,36.7,89.87,6.56,179.32,Papaya
61,48,52,26.88,92.27,6.92,117.78,Papaya
34,60,48,35.9,91.07,6.55,51.65,Papaya
51,57,46,34.38,93.94,6.66,154.67,Papaya
52,49,56,32.05,93.38,6.85,136.32,Papaya
56,60,45,32.54,91.48,6.61,83.92,Papaya
61,71,52,38.15,91.88,6.57,107.56,Papaya
56,60,49,38.23,93.01,6.53,111.96,Papaya
56,67,51,40.34,94.85,6.79,104.86,Papaya
36,55,52,40.09,93.03,6.93,131.56,Papaya
56,65,44,32.25,93.82,6.75,88.76,Papaya
25,56,49,30.61,92.61,6.8,172.78,Papaya
26,48,49,35.7,93.13,6.79,125.35,Papaya
46,53,52,30.48,93.68,6.74,140.57,Papaya
43,48,48,32.54,88.85,6.66,184.2,Papaya
55,55,50,31.75,92.62,7.01,186.18,Papaya
55,55,52,27.8,92.02,6.82,175.92,Papaya
56,61,49,35.58,90.97,6.53,145.38,Papaya
51,44,51,36.4,92.28,7.17,111.87,Papaya
46,55,49,32.55,90.29,6.59,138.21,Papaya
62,76,54,30.99,91.36,6.67,222.91,Papaya
48,48,48,36.35,93.43,6.66,173.35,Papaya
27,59,52,30.78,91.15,6.33,214.15,Papaya
42,60,51,38.99,92.17,6.59,150.39,Papaya
62,57,47,28.31,90.57,6.87,128.17,Papaya
43,53,50,32.86,91.99,6.97,211.81,Papaya
33,61,47,32.83,92.86,6.66,152.97,Papaya
56,61,48,31.5,90.24,6.53,230.89,Papaya
42,49,50,33.31,92.11,6.98,167.31,Papaya
44,55,48,36.76,91.94,6.34,140.43,Papaya
34,76,47,33.13,92.79,6.64,129.55,Papaya
54,71,52,38.87,90.83,6.76,149.59,Papaya
53,70,49,32.28,93.2,6.34,131.94,Papaya
48,51,53,29.98,92.2,6.76,203.51,Papaya
49,66,52,34.13,90.77,6.41,147.39,Papaya
44,66,52,33.05,90.66,6.8,96.79,Papaya
42,51,49,37.8,92.39,6.61,73.95,Papaya
55,52,50,32.46,93.66,6.67,139.95,Papaya
54,75,52,33.39,92.4,6.6,99.85,Papaya
44,52,51,29.95,94.4,6.85,143.52,Papaya
50,54,50,37.51,91.35,6.39,174.24,Papaya
53,50,47,30.69,91.31,6.64,130.61,Papaya
43,52,49,34.29,91.93,6.93,165.46,Papaya
34,63,51,32.18,90.16,6.7,142.25,Papaya
38,47,49,32.88,91.77,6.68,92.98,Papaya
45,63,48,27.85,91.69,6.49,154.62,Papaya
53,45,52,29.81,94.74,6.69,86.51,Papaya
38,61,48,33.36,94.82,6.56,145.3,Papaya
64,61,45,35.47,90.66,6.98,105.57,Papaya
79,70,47,33.77,93.53,6.86,162.51,Papaya
29,16,28,26.88,96.52,6.11,183.86,Coconut
26,5,30,27.73,98.14,5.54,219.3,Coconut
22,19,35,28.24,95.6,6.07,162.16,Coconut
21,12,29,23.9,95.66,5.96,166.29,Coconut
23,8,35,27.25,94.51,5.71,176.37,Coconut
30,23,32,28.22,94.08,5.56,170.07,Coconut
20,23,30,29.82,97.19,5.86,125.44,Coconut
30,25,25,29.66,95.56,6.05,220.91,Coconut
30,20,31,28.32,94.0,5.98,150.44,Coconut
20,14,28,27.61,94.15,6.15,130.28,Coconut
21,17,29,27.14,91.63,6.11,193.83,Coconut
24,23,30,28.12,95.11,6.21,131.54,Coconut
16,26,22,27.19,97.14,5.97,164.36,Coconut
22,14,30,26.37,97.02,6.43,171.97,Coconut
13,13,29,28.16,92.78,5.77,190.0,Coconut
27,13,26,32.33,96.37,5.92,200.03,Coconut
21,22,30,27.54,94.57,5.57,229.97,Coconut
16,8,29,25.96,94.7,6.21,203.57,Coconut
26,15,30,28.01,91.28,6.17,134.9,Coconut
34,14,29,26.25,93.54,6.68,202.03,Coconut
12,26,33,26.98,95.41,6.0,230.93,Coconut
17,17,28,25.25,99.18,5.65,181.86,Coconut
11,14,31,26.16,95.97,5.92,208.18,Coconut
30,13,30,27.68,96.04,6.0,181.03,Coconut
20,17,33,28.37,96.2,6.22,171.39,Coconut
23,10,33,23.23,94.63,6.34,137.51,Coconut
24,12,28,28.82,95.2,5.39,148.36,Coconut
27,19,35,29.92,94.12,6.75,176.39,Coconut
16,13,23,29.81,97.99,5.7,169.32,Coconut
22,11,24,27.08,94.16,5.88,181.94,Coconut
30,15,30,28.49,95.91,5.82,178.4,Coconut
25,10,33,29.55,93.35,6.06,193.68,Coconut
18,19,30,25.2,95.72,5.67,202.0,Coconut
17,16,34,28.14,92.64,5.7,158.92,Coconut
24,19,27,25.65,95.36,5.95,236.1,Coconut
22,27,26,25.04,92.56,6.36,224.87,Coconut
17,14,26,24.68,96.24,6.07,175.99,Coconut
13,26,28,28.2,91.89,5.94,183.86,Coconut
23,17,31,25.7,95.19,6.03,182.19,Coconut
22,9,26,24.08,96.44,6.25,199.32,Coconut
23,5,26,27.66,95.07,5.93,186.03,Coconut
22,17,28,28.87,93.94,5.6,154.11,Coconut
19,22,29,27.12,92.3,6.24,157.45,Coconut
21,25,31,24.96,91.26,5.98,141.74,Coconut
25,17,30,26.34,98.28,6.85,167.9,Coconut
24,17,29,26.15,92.63,5.66,187.05,Coconut
18,5,31,27.34,97.49,6.11,134.3,Coconut
8,12,28,28.81,94.78,6.34,138.6,Coconut
27,21,23,29.38,94.99,6.12,151.48,Coconut
29,9,32,28.63,92.85,6.6,182.18,Coconut
25,7,36,25.56,96.85,5.7,158.37,Coconut
26,23,26,29.04,96.89,5.72,220.46,Coconut
13,13,31,26.12,95.33,6.07,170.46,Coconut
26,15,30,29.12,96.38,6.24,143.52,Coconut
25,11,26,27.29,92.99,6.24,198.51,Coconut
10,12,25,26.71,95.71,5.93,159.19,Coconut
29,5,33,26.58,94.64,5.84,218.9,Coconut
14,17,31,24.98,92.96,5.96,150.87,Coconut
17,14,31,26.89,96.96,5.7,140.65,Coconut
33,13,26,24.79,96.95,5.9,168.6,Coconut
21,23,29,30.92,95.07,6.32,198.25,Coconut
21,13,30,28.17,93.65,6.05,210.31,Coconut
34,22,35,26.46,96.2,6.4,150.6,Coconut
19,27,27,25.39,97.86,6.36,187.8,Coconut
21,14,30,29.77,95.28,6.65,150.56,Coconut
21,14,26,27.17,95.63,6.16,236.47,Coconut
24,23,30,29.92,99.6,6.16,147.91,Coconut
18,18,31,28.45,95.72,6.0,157.89,Coconut
24,28,33,28.2,96.86,5.89,161.47,Coconut
17,16,28,29.21,93.85,5.76,230.09,Coconut
19,17,31,25.69,97.27,6.19,219.33,Coconut
17,17,30,27.8,91.89,6.03,135.76,Coconut
24,5,24,28.63,93.71,5.7,211.28,Coconut
23,22,29,31.42,93.59,6.52,173.98,Coconut
12,19,30,25.82,92.96,5.99,185.49,Coconut
7,23,28,25.4,96.68,5.99,209.75,Coconut
24,16,29,28.12,93.97,5.74,192.78,Coconut
21,17,33,27.23,94.83,5.82,187.76,Coconut
24,22,28,26.71,96.38,6.08,150.33,Coconut
29,6,32,25.5,98.57,5.54,207.96,Coconut
21,14,30,28.35,92.99,5.76,193.89,Coconut
11,13,39,25.95,97.1,5.82,189.95,Coconut
25,23,29,30.38,93.62,6.07,182.57,Coconut
15,15,30,26.75,99.68,5.75,208.72,Coconut
27,16,27,26.25,93.76,5.46,147.6,Coconut
13,25,31,28.58,95.98,6.05,216.6,Coconut
18,17,32,25.42,100.0,6.01,179.68,Coconut
29,22,30,27.6,91.79,5.83,190.18,Coconut
24,24,29,25.32,96.91,6.43,200.85,Coconut
21,23,40,27.57,92.18,5.82,193.21,Coconut
12,18,31,29.7,97.42,6.26,115.14,Coconut
27,21,30,24.8,93.25,5.65,119.28,Coconut
21,12,37,27.15,97.39,5.53,160.86,Coconut
22,11,28,27.07,94.33,6.56,186.29,Coconut
24,20,31,27.28,94.16,6.05,208.09,Coconut
28,15,32,27.11,94.87,5.86,170.61,Coconut
30,17,30,25.23,94.18,5.93,152.48,Coconut
22,14,30,27.58,92.89,5.88,177.87,Coconut
29,18,28,28.0,98.22,6.28,191.03,Coconut
26,25,33,28.25,96.94,5.68,133.64,Coconut
119,46,18,25.24,73.28,6.58,74.58,Cotton
98,57,15,23.12,82.98,7.29,67.1,Cotton
126,48,26,24.61,79.31,6.39,71.47,Cotton
108,56,20,24.85,85.1,5.48,95.75,Cotton
118,49,17,22.87,81.51,8.33,92.44,Cotton
133,44,18,22.83,78.09,5.67,71.7,Cotton
111,44,20,24.54,79.75,6.55,56.84,Cotton
111,38,21,25.36,83.08,7.35,78.8,Cotton
111,40,15,25.49,79.19,6.15,70.48,Cotton
107,46,23,23.48,71.92,6.79,78.53,Cotton
115,40,20,24.1,79.71,7.15,75.24,Cotton
112,57,21,25.24,84.09,7.22,91.54,Cotton
99,47,19,26.52,83.05,6.52,84.87,Cotton
120,49,16,24.54,79.0,7.07,71.71,Cotton
110,55,16,22.53,79.62,6.44,69.78,Cotton
119,33,16,27.08,81.41,6.45,85.42,Cotton
124,53,19,25.46,72.67,6.27,82.37,Cotton
121,38,20,23.06,78.83,7.51,91.31,Cotton
106,37,18,23.96,77.5,7.52,84.57,Cotton
122,35,23,19.77,82.72,7.46,75.21,Cotton
133,45,20,24.51,90.95,7.71,88.81,Cotton
107,47,17,25.23,80.29,6.23,81.37,Cotton
107,47,17,24.04,82.43,6.87,75.71,Cotton
120,51,16,24.39,84.41,7.24,81.09,Cotton
125,49,22,20.96,74.36,7.5,62.34,Cotton
122,43,17,24.52,80.5,8.17,72.9,Cotton
135,48,18,25.2,81.78,6.92,83.6,Cotton
110,39,22,23.66,79.52,7.07,83.58,Cotton
100,56,20,23.7,81.31,7.04,89.6,Cotton
124,51,24,25.33,79.24,6.23,100.41,Cotton
115,42,14,24.51,80.32,5.99,85.84,Cotton
112,67,18,23.35,76.74,7.67,75.93,Cotton
109,51,15,24.94,86.03,7.24,88.05,Cotton
128,59,23,24.66,82.96,6.37,89.72,Cotton
105,43,10,24.6,77.55,7.57,85.08,Cotton
131,37,23,27.16,82.47,7.37,82.44,Cotton
111,52,15,23.37,73.6,6.48,88.1,Cotton
124,46,20,21.17,78.5,6.49,72.49,Cotton
125,39,18,20.87,78.77,6.25,81.35,Cotton
106,46,19,26.51,81.54,5.8,65.22,Cotton
118,38,11,26.02,82.32,7.21,73.11,Cotton
123,40,20,22.62,85.11,5.96,95.19,Cotton
118,42,20,25.1,84.58,7.09,69.71,Cotton
118,60,24,25.36,82.58,7.32,94.31,Cotton
112,35,20,22.77,76.11,6.47,110.22,Cotton
119,48,16,21.23,76.93,7.76,84.41,Cotton
125,51,18,26.08,77.59,7.74,85.71,Cotton
96,40,14,25.74,79.71,5.56,84.91,Cotton
111,34,25,24.16,78.77,6.66,62.24,Cotton
102,56,18,24.03,72.64,6.11,87.72,Cotton
122,60,24,23.65,81.46,6.71,105.06,Cotton
131,47,20,26.17,81.83,7.84,54.08,Cotton
123,41,25,26.32,79.91,7.82,101.8,Cotton
118,65,19,23.68,82.83,6.69,81.42,Cotton
134,46,14,24.55,77.36,7.42,88.75,Cotton
135,53,23,23.0,82.61,8.08,72.14,Cotton
139,41,17,24.44,82.31,7.45,68.86,Cotton
123,40,15,22.61,77.17,7.21,94.23,Cotton
100,48,16,24.94,77.62,6.27,90.0,Cotton
110,43,13,25.42,82.67,6.9,62.07,Cotton
132,40,18,27.47,77.34,7.35,87.15,Cotton
122,48,21,24.41,79.62,7.81,64.65,Cotton
130,52,22,25.68,79.48,5.78,79.53,Cotton
106,40,16,23.28,77.71,5.47,88.8,Cotton
144,50,19,23.92,78.33,6.95,79.96,Cotton
107,59,15,25.08,79.45,8.04,84.49,Cotton
113,44,20,22.29,77.12,5.83,69.32,Cotton
119,48,14,23.79,81.77,6.8,72.79,Cotton
113,41,18,24.26,87.88,6.45,76.58,Cotton
117,40,23,20.44,77.94,7.39,76.87,Cotton
108,49,22,24.32,77.0,7.17,75.58,Cotton
126,57,12,24.17,73.72,8.37,74.78,Cotton
126,45,17,22.62,85.35,7.47,103.72,Cotton
118,48,19,23.57,76.15,6.95,70.93,Cotton
123,47,20,26.51,79.67,7.35,105.02,Cotton
133,55,19,24.34,75.19,7.2,83.69,Cotton
118,54,16,26.45,82.96,6.86,78.62,Cotton
123,58,20,24.22,79.86,7.97,75.97,Cotton
117,57,20,25.71,76.61,6.78,98.21,Cotton
109,44,20,22.52,78.35,6.97,80.96,Cotton
133,58,17,24.17,82.16,7.81,89.02,Cotton
121,51,22,22.61,80.47,7.78,77.91,Cotton
119,44,13,24.03,80.86,6.59,66.54,Cotton
107,52,25,26.07,75.09,7.41,72.44,Cotton
111,42,22,25.44,79.46,6.85,85.97,Cotton
124,55,16,24.03,76.06,6.87,77.69,Cotton
117,39,15,20.86,79.34,6.64,72.29,Cotton
133,39,24,26.44,72.97,6.96,75.6,Cotton
83,34,22,27.03,82.96,7.09,80.14,Cotton
138,63,18,21.0,72.46,7.69,79.84,Cotton
120,31,17,23.56,80.53,6.66,67.95,Cotton
108,55,20,24.92,76.65,5.13,74.12,Cotton
107,48,29,25.04,89.38,7.24,72.84,Cotton
122,60,25,23.14,80.69,6.04,90.3,Cotton
136,46,17,24.54,81.26,6.95,82.54,Cotton
115,53,22,22.53,76.26,6.75,89.24,Cotton
119,40,20,23.5,82.88,7.1,76.62,Cotton
120,56,18,24.6,79.55,7.16,72.55,Cotton
119,54,17,22.01,75.28,6.2,87.54,Cotton
101,43,21,24.62,78.45,7.01,81.69,Cotton
75,45,46,25.97,92.0,6.5,173.27,Jute
62,40,45,24.37,89.2,6.2,155.84,Jute
73,46,42,25.54,77.52,6.65,169.06,Jute
67,39,43,22.81,87.69,6.56,160.89,Jute
86,58,43,25.6,85.03,6.01,165.41,Jute
67,56,38,26.01,82.28,6.36,164.23,Jute
93,40,40,24.06,78.03,6.68,160.71,Jute
66,49,37,24.03,74.9,6.67,191.79,Jute
96,41,46,23.79,85.02,6.41,159.12,Jute
69,46,41,25.8,74.88,6.3,158.3,Jute
76,45,37,25.32,90.91,6.5,167.0,Jute
84,42,42,24.14,88.76,6.84,163.64,Jute
70,42,44,23.48,76.26,6.48,174.52,Jute
74,35,38,24.88,76.46,6.97,191.35,Jute
77,48,33,24.49,84.62,6.53,161.53,Jute
105,61,41,26.37,68.47,6.38,166.34,Jute
75,43,32,25.46,82.32,7.34,160.61,Jute
67,25,39,26.08,76.54,7.56,170.18,Jute
79,36,40,22.62,83.07,6.99,199.27,Jute
65,48,41,25.53,75.27,5.74,181.05,Jute
76,42,42,24.95,73.0,5.93,154.48,Jute
106,52,40,24.78,78.36,7.17,165.97,Jute
84,44,45,25.89,85.83,6.47,193.85,Jute
74,47,44,23.75,80.62,6.88,184.16,Jute
72,63,36,26.75,85.68,7.46,146.21,Jute
67,58,34,23.07,77.16,6.78,203.46,Jute
75,42,40,25.56,81.81,6.63,139.61,Jute
66,58,40,24.61,85.19,6.25,170.74,Jute
79,43,40,24.77,72.6,6.77,150.89,Jute
